IMAGE ID,time stamp,likes,no.of comments,post_Metadata,post link
2005_33,02-11-2021,221160,1067,#jewellery #longearrings,https://www.instagram.com/p/CVwuGbhDnsC/?utm_source=ig_web_copy_link
2833_22,28-07-2022,217,0,#puma,https://www.instagram.com/p/Cgiyp7cI0pg/?utm_source=ig_web_copy_link
5283_4,30-01-2022,708425,2882,@Lehenga Choli With Dupatta  @Green Lehenga,https://www.instagram.com/p/CZWrnyRJrdg/
2005_35,09-05-2022,3700000,11300, #earrings #necklace #green stone crystals,https://www.instagram.com/p/CdV9nmrM4wu/?utm_source=ig_web_copy_link
2005_36,14-06-2022,1700000,4819,When the sun made me shy. #hat,https://www.instagram.com/p/CexijBep0rb/?utm_source=ig_web_copy_link
5283_5,03-03-2022,945795,4097,Vintage love 💚❤️  #josalukkas #jewellery #saree #ethinicfashion,https://www.instagram.com/p/CapEcpwJZlE/
5283_6,04-03-2022,1178043,4575,Being Kalaavathi ❤️  @printed frilled pre-stitched saree with mirror work embroidery sleeveless blouse ,https://www.instagram.com/p/CarzEFYJcqX/
2005_37,11-06-2022,528000,1367,#lavis handbag,https://www.instagram.com/p/Cep0BrApa0H/?utm_source=ig_web_copy_link
2005_38,23-07-2022,2642,13,#weddinghairjewelry #hairjewelry #bridaljewelry #bridalhairaccessories ,https://www.instagram.com/p/CgWO9VDNn2C/?utm_source=ig_web_copy_link
5283_7,14-03-2022,840196,3329,#Beautiful Pakistani dress  #Pakistani dress design,https://www.instagram.com/p/CbFnlmrpBcI/
2005_39,07-08-2021,34579,387,"#lehenga #lehengagoals
#lehengainspiration 
#indianethnicwear #ethnicwear ",https://www.instagram.com/p/CSRN8oqDLvn/?utm_source=ig_web_copy_link
2005_40,09-05-2022,4536,1059,ultra-chic saree in navy blue 💙,https://www.instagram.com/tv/CdVmEfBD_Bb/?utm_source=ig_web_copy_link
5283_8,24-05-2022,928284,3648,Shades of summer 🤍💛🧡   @Mustard ruffle Saree   @YellowSaree,https://www.instagram.com/p/Cd8NVAIpw0N/
5283_9,29-05-2022,1031317,4151,Think Pink 💞  #FloralSaree  #Malavikas structured mini dress,https://www.instagram.com/p/CeJDHu7p2i2/
5283_10,16-06-2022,804052,3298,Feeling peachy #WeddingFeels #PeachSuit #Suit,https://www.instagram.com/p/Ce2-Ibcpe3c/
5283_11,18-06-2022,828443,2742,Getting lost in lavender 💜#whitedress  #VinatgeHandmadeCottagecore,https://www.instagram.com/p/Ce8AUv6JjE8/
2010_1,05-03-2020,121656,911,#PumaWomenTshirt  #WhiteTshirt,https://www.instagram.com/p/B9Wrk2UphAW/
2010_2,14-11-2020,157430,1083,#WomenKurta and Palazzo,https://www.instagram.com/p/CHlHieLJIme/
2831_1,14-06-2022,481878,2521,#Social Pigeon Self Design Single Breasted Casual,https://www.instagram.com/p/Cf_qXIgrJzJ/?hl=en
2831_2,09-07-2022,808479,3846,#skyblue men_outfit,https://www.instagram.com/p/CfxwP_drrit/?hl=en
5281_1,04-07-2022,168654,4180,#longwhitecoat ,https://www.instagram.com/p/CgZHcpRPtJT/
2831_3,08-07-2022,512310,4222,#Sandstone Maze Shirt,https://www.instagram.com/p/CfvKKDwrlqJ/?hl=en
2831_4,18-01-2021,769685,4050,#Formal Shirt,https://www.instagram.com/p/CKL6HTkL6QO/?hl=en
2831_5,16-01-2021,615540,2622,#Freehand Men Printed Straight Kurta,https://www.instagram.com/p/CKGun3preZQ/?hl=en
5281_2,21-10-2021,360005,6748,#WomenKurta,https://www.instagram.com/p/CVln40esGkM/
2831_6,13-01-2021,693203,3762,#Prima Czar Peak Lapel Suit And Pant Set,https://www.instagram.com/p/CJ_RxUeLoN_/?hl=en
5281_3,02-09-2021,217546,2782,@WomenFootWare #SkyblueShoe,https://www.instagram.com/p/CTUvle3h9Fd/
2831_7,11-01-2021,596010,2451,#Men Self Design Straight Kurta,https://www.instagram.com/p/CJ55uuPLNEq/?hl=en
5281_4,06-05-2021,382524,6077,#Floral Hand Painted & Hand Embroidered Straight Fit Kurta,https://www.instagram.com/p/COie8TIh8UU/
5281_5,05-05-2021,333557,4408,#Semi Stitched Lehenga Choli,https://www.instagram.com/p/COf4bqEhCOw/
2831_8,09-01-2021,627330,2961,#Shuri Men Printed Casual Shirt,https://www.instagram.com/p/CJ0vb_DrZmg/?hl=en
2831_9,04-01-2021,869715,7823,#Embroidery Work Tiger Design Men's Shirt,https://www.instagram.com/p/Cf_qXIgrJzJ/?utm_source=ig_web_copy_link
5281_6,30-04-2021,360247,4479,#Women Kurta and Skirt Set Viscose Rayon,https://www.instagram.com/p/COSggcFh_e6/
2831_10,19-11-2020,422543,1608,#Black Dark Grey Full Sleeve Hooded T-Shirt,https://www.instagram.com/p/CHxkDQTrB2W/?hl=en
2831_11,06-11-2020,425075,1550,#Jatin Malik Button Down Jacket And Pant Set,https://www.instagram.com/p/CHP9f72Lzhb/?hl=en
2831_12,01-11-2020,583409,2719,#Men's Printed Chinese Collar Full Sleeves Kurta,https://www.instagram.com/p/CHC7q4LrWoX/?hl=en
2831_13,02-02-2020,308267,782,#Lookslady Designer Men Kurta And Pyjama Set,https://www.instagram.com/p/B8DnWzwleu3/?hl=en
5282_1,02-20-2020,359,3,#Elegant bridal style sarees  #Rich mustard yellow colour saree with orange boarder worn along with beautiful designer blouse for a perfect bridal inspiration⁣⁣⁣,https://www.instagram.com/p/CF06VsbhZ2k/?utm_source=ig_web_copy_link
5282_2,01-10-2020,440,2,Simple pastel blue colour dress with black piping and design worn along with sutle grey net dupatta with black butte work for a simple and elegant ethic trend⁣,https://www.instagram.com/p/CFyvNX6Bk8h/?utm_source=ig_web_copy_link
